time,voltage1,voltage2,voltage3,voltage4,voltage5,current1,current2,current3,current4,current5
0,-69.85473633,-70.22094727,-70.3125,-70.22094727,-70.40405273,0,0,0,0,0
0.05,-69.85473633,-70.25146484,-70.28198242,-70.25146484,-70.40405273,0,0,0,0,0
0.1,-69.85473633,-70.22094727,-70.34301758,-70.22094727,-70.34301758,0,0,0,0,0
0.15,-69.82421875,-70.19042969,-70.37353516,-70.15991211,-70.37353516,0,0,0,0,0
0.2,-69.82421875,-70.19042969,-70.37353516,-70.15991211,-70.40405273,0,0,0,0,0
0.25,-69.88525391,-70.22094727,-70.37353516,-70.19042969,-70.40405273,0,0,0,0,0
0.3,-69.85473633,-70.28198242,-70.34301758,-70.22094727,-70.37353516,0,0,0,0,0
0.35,-69.85473633,-70.15991211,-70.3125,-70.22094727,-70.40405273,0,0,0,0,0
0.4,-69.79370117,-70.22094727,-70.3125,-70.19042969,-70.43457031,0,0,0,0,0
0.45,-69.85473633,-70.22094727,-70.37353516,-70.19042969,-70.40405273,0,0,0,0,0
0.5,-69.88525391,-70.22094727,-70.37353516,-70.15991211,-70.40405273,0,0,0,0,0
0.55,-69.85473633,-70.22094727,-70.37353516,-70.19042969,-70.43457031,0,0,0,0,0
0.6,-69.85473633,-70.15991211,-70.37353516,-70.22094727,-70.43457031,0,0,0,0,0
0.65,-69.85473633,-70.15991211,-70.37353516,-70.19042969,-70.37353516,0,0,0,0,0
0.7,-69.82421875,-70.15991211,-70.37353516,-70.15991211,-70.43457031,0,0,0,0,0
0.75,-69.88525391,-70.19042969,-70.37353516,-70.15991211,-70.40405273,0,0,0,0,0
0.8,-69.85473633,-70.22094727,-70.34301758,-70.22094727,-70.43457031,0,0,0,0,0
0.85,-69.82421875,-70.19042969,-70.37353516,-70.19042969,-70.43457031,0,0,0,0,0
0.9,-69.82421875,-70.22094727,-70.34301758,-70.15991211,-70.43457031,0,0,0,0,0
0.95,-69.82421875,-70.19042969,-70.34301758,-70.22094727,-70.43457031,0,0,0,0,0
1,-69.85473633,-70.19042969,-70.34301758,-70.19042969,-70.43457031,0,0,0,0,0
1.05,-69.85473633,-70.22094727,-70.3125,-70.19042969,-70.40405273,0,0,0,0,0
1.1,-69.85473633,-70.25146484,-70.37353516,-70.19042969,-70.40405273,0,0,0,0,0
1.15,-69.85473633,-70.19042969,-70.34301758,-70.19042969,-70.40405273,0,0,0,0,0
1.2,-69.85473633,-70.15991211,-70.3125,-70.19042969,-70.37353516,0,0,0,0,0
1.25,-69.85473633,-70.19042969,-70.37353516,-70.19042969,-70.40405273,0,0,0,0,0
1.3,-69.85473633,-70.12939453,-70.34301758,-70.15991211,-70.40405273,0,0,0,0,0
1.35,-69.88525391,-70.12939453,-70.3125,-70.22094727,-70.37353516,0,0,0,0,0
1.4,-69.88525391,-70.19042969,-70.34301758,-70.19042969,-70.40405273,0,0,0,0,0
1.45,-69.85473633,-70.15991211,-70.3125,-70.19042969,-70.40405273,0,0,0,0,0
1.5,-69.85473633,-70.12939453,-70.3125,-70.15991211,-70.40405273,0,0,0,0,0
1.55,-69.88525391,-70.15991211,-70.3125,-70.12939453,-70.37353516,0,0,0,0,0
1.6,-69.88525391,-70.15991211,-70.34301758,-70.19042969,-70.40405273,0,0,0,0,0
1.65,-69.88525391,-70.19042969,-70.3125,-70.15991211,-70.37353516,0,0,0,0,0
1.7,-69.82421875,-70.19042969,-70.34301758,-70.19042969,-70.43457031,0,0,0,0,0
1.75,-69.85473633,-70.15991211,-70.34301758,-70.15991211,-70.37353516,0,0,0,0,0
1.8,-69.82421875,-70.19042969,-70.3125,-70.19042969,-70.37353516,0,0,0,0,0
1.85,-69.85473633,-70.15991211,-70.34301758,-70.19042969,-70.40405273,0,0,0,0,0
1.9,-69.85473633,-70.12939453,-70.3125,-70.19042969,-70.37353516,0,0,0,0,0
1.95,-69.88525391,-70.19042969,-70.37353516,-70.19042969,-70.43457031,0,0,0,0,0
2,-69.88525391,-70.22094727,-70.28198242,-70.22094727,-70.40405273,0,0,0,0,0
2.05,-69.88525391,-70.19042969,-70.37353516,-70.19042969,-70.40405273,0,0,0,0,0
2.1,-69.88525391,-70.19042969,-70.34301758,-70.12939453,-70.43457031,0,0,0,0,0
2.15,-69.91577148,-70.19042969,-70.34301758,-70.15991211,-70.43457031,0,0,0,0,0
2.2,-69.88525391,-70.19042969,-70.34301758,-70.12939453,-70.37353516,0,0,0,0,0
2.25,-69.88525391,-70.22094727,-70.34301758,-70.15991211,-70.43457031,0,0,0,0,0
2.3,-69.88525391,-70.19042969,-70.3125,-70.12939453,-70.40405273,0,0,0,0,0
2.35,-69.88525391,-70.19042969,-70.3125,-70.06835938,-70.40405273,0,0,0,0,0
2.4,-69.85473633,-70.15991211,-70.34301758,-70.15991211,-70.40405273,0,0,0,0,0
2.45,-69.88525391,-70.22094727,-70.34301758,-70.15991211,-70.40405273,0,0,0,0,0
2.5,-69.88525391,-70.15991211,-70.37353516,-70.19042969,-70.37353516,0,0,0,0,0
2.55,-69.94628906,-70.22094727,-70.3125,-70.19042969,-70.46508789,0,0,0,0,0
2.6,-69.85473633,-70.19042969,-70.37353516,-70.12939453,-70.40405273,0,0,0,0,0
2.65,-69.85473633,-70.22094727,-70.34301758,-70.19042969,-70.40405273,0,0,0,0,0
2.7,-69.88525391,-70.19042969,-70.34301758,-70.15991211,-70.46508789,0,0,0,0,0
2.75,-69.85473633,-70.15991211,-70.37353516,-70.19042969,-70.43457031,0,0,0,0,0
2.8,-69.91577148,-70.22094727,-70.3125,-70.15991211,-70.40405273,0,0,0,0,0
2.85,-69.91577148,-70.19042969,-70.3125,-70.15991211,-70.43457031,0,0,0,0,0
2.9,-69.94628906,-70.22094727,-70.3125,-70.19042969,-70.40405273,0,0,0,0,0
2.95,-69.88525391,-70.19042969,-70.28198242,-70.19042969,-70.40405273,0,0,0,0,0
3,-69.91577148,-70.25146484,-70.28198242,-70.19042969,-70.40405273,0,0,0,0,0
3.05,-69.91577148,-70.15991211,-70.28198242,-70.12939453,-70.43457031,0,0,0,0,0
3.1,-69.91577148,-70.19042969,-70.28198242,-70.22094727,-70.40405273,0,0,0,0,0
3.15,-69.88525391,-70.19042969,-70.3125,-70.15991211,-70.40405273,0,0,0,0,0
3.2,-69.91577148,-70.19042969,-70.25146484,-70.12939453,-70.40405273,0,0,0,0,0
3.25,-69.94628906,-70.22094727,-70.25146484,-70.19042969,-70.43457031,0,0,0,0,0
3.3,-69.85473633,-70.19042969,-70.25146484,-70.22094727,-70.43457031,0,0,0,0,0
3.35,-69.85473633,-70.19042969,-70.25146484,-70.15991211,-70.37353516,0,0,0,0,0
3.4,-69.88525391,-70.22094727,-70.28198242,-70.12939453,-70.43457031,0,0,0,0,0
3.45,-69.88525391,-70.22094727,-70.28198242,-70.15991211,-70.37353516,0,0,0,0,0
3.5,-69.88525391,-70.25146484,-70.28198242,-70.12939453,-70.34301758,0,0,0,0,0
3.55,-69.88525391,-70.22094727,-70.28198242,-70.12939453,-70.37353516,0,0,0,0,0
3.6,-69.91577148,-70.22094727,-70.28198242,-70.15991211,-70.40405273,0,0,0,0,0
3.65,-69.85473633,-70.22094727,-70.28198242,-70.15991211,-70.40405273,0,0,0,0,0
3.7,-69.91577148,-70.15991211,-70.28198242,-70.12939453,-70.40405273,0,0,0,0,0
3.75,-69.91577148,-70.19042969,-70.25146484,-70.12939453,-70.43457031,0,0,0,0,0
3.8,-69.88525391,-70.15991211,-70.22094727,-70.12939453,-70.43457031,0,0,0,0,0
3.85,-69.91577148,-70.12939453,-70.22094727,-70.12939453,-70.40405273,0,0,0,0,0
3.9,-69.85473633,-70.12939453,-70.28198242,-70.12939453,-70.40405273,0,0,0,0,0
3.95,-69.88525391,-70.15991211,-70.22094727,-70.15991211,-70.46508789,0,0,0,0,0
4,-69.91577148,-70.15991211,-70.22094727,-70.12939453,-70.40405273,0,0,0,0,0
4.05,-69.85473633,-70.19042969,-70.22094727,-70.12939453,-70.40405273,0,0,0,0,0
4.1,-69.88525391,-70.22094727,-70.25146484,-70.12939453,-70.40405273,0,0,0,0,0
4.15,-69.88525391,-70.19042969,-70.15991211,-70.15991211,-70.40405273,0,0,0,0,0
4.2,-69.91577148,-70.12939453,-70.22094727,-70.19042969,-70.37353516,0,0,0,0,0
4.25,-69.85473633,-70.15991211,-70.25146484,-70.12939453,-70.37353516,0,0,0,0,0
4.3,-69.88525391,-70.15991211,-70.25146484,-70.12939453,-70.43457031,0,0,0,0,0
4.35,-69.88525391,-70.15991211,-70.22094727,-70.19042969,-70.43457031,0,0,0,0,0
4.4,-69.85473633,-70.19042969,-70.25146484,-70.15991211,-70.34301758,0,0,0,0,0
4.45,-69.88525391,-70.22094727,-70.25146484,-70.19042969,-70.37353516,0,0,0,0,0
4.5,-69.85473633,-70.15991211,-70.22094727,-70.15991211,-70.40405273,0,0,0,0,0
4.55,-69.82421875,-70.19042969,-70.22094727,-70.15991211,-70.40405273,0,0,0,0,0
4.6,-69.85473633,-70.19042969,-70.25146484,-70.12939453,-70.40405273,0,0,0,0,0
4.65,-69.88525391,-70.22094727,-70.19042969,-70.15991211,-70.40405273,0,0,0,0,0
4.7,-69.82421875,-70.19042969,-70.22094727,-70.19042969,-70.40405273,0,0,0,0,0
4.75,-69.79370117,-70.19042969,-70.22094727,-70.22094727,-70.37353516,0,0,0,0,0
4.8,-69.85473633,-70.22094727,-70.25146484,-70.19042969,-70.37353516,0,0,0,0,0
4.85,-69.85473633,-70.19042969,-70.19042969,-70.15991211,-70.34301758,0,0,0,0,0
4.9,-69.85473633,-70.19042969,-70.22094727,-70.15991211,-70.40405273,0,0,0,0,0
4.95,-69.85473633,-70.22094727,-70.22094727,-70.15991211,-70.37353516,0,0,0,0,0
5,-69.82421875,-70.22094727,-70.22094727,-70.15991211,-70.37353516,0,0,0,0,0
5.05,-69.79370117,-70.15991211,-70.19042969,-70.15991211,-70.40405273,0,0,0,0,0
5.1,-69.79370117,-70.15991211,-70.22094727,-70.22094727,-70.43457031,0,0,0,0,0
5.15,-69.82421875,-70.19042969,-70.22094727,-70.12939453,-70.40405273,0,0,0,0,0
5.2,-69.79370117,-70.19042969,-70.25146484,-70.12939453,-70.40405273,0,0,0,0,0
5.25,-69.79370117,-70.15991211,-70.19042969,-70.15991211,-70.37353516,0,0,0,0,0
5.3,-69.82421875,-70.19042969,-70.19042969,-70.19042969,-70.46508789,0,0,0,0,0
5.35,-69.82421875,-70.15991211,-70.22094727,-70.12939453,-70.43457031,0,0,0,0,0
5.4,-69.79370117,-70.15991211,-70.22094727,-70.15991211,-70.43457031,0,0,0,0,0
5.45,-69.76318359,-70.22094727,-70.22094727,-70.15991211,-70.40405273,0,0,0,0,0
5.5,-69.85473633,-70.15991211,-70.25146484,-70.15991211,-70.43457031,0,0,0,0,0
5.55,-69.82421875,-70.12939453,-70.19042969,-70.15991211,-70.43457031,0,0,0,0,0
5.6,-69.79370117,-70.15991211,-70.19042969,-70.12939453,-70.43457031,0,0,0,0,0
5.65,-69.82421875,-70.15991211,-70.19042969,-70.15991211,-70.43457031,0,0,0,0,0
5.7,-69.85473633,-70.15991211,-70.22094727,-70.19042969,-70.43457031,0,0,0,0,0
5.75,-69.82421875,-70.12939453,-70.19042969,-70.15991211,-70.43457031,0,0,0,0,0
5.8,-69.85473633,-70.09887695,-70.19042969,-70.15991211,-70.43457031,0,0,0,0,0
5.85,-69.82421875,-70.15991211,-70.22094727,-70.19042969,-70.43457031,0,0,0,0,0
5.9,-69.82421875,-70.15991211,-70.25146484,-70.22094727,-70.40405273,0,0,0,0,0
5.95,-69.79370117,-70.12939453,-70.22094727,-70.19042969,-70.43457031,0,0,0,0,0
